product_id,product_name,brands,energy,saturated_fats,sugars,eco_score_num,nutri_score_num,nova_score_num,product_additive_count
9935,Judías verdes extrafinas,Bonduelle,20.00,0.00,0.80,2.00,2.00,3.00,
9936,Diet Nature tortitas de maíz con chocolate negro - Gullón,"Gullón, Diet Nature",417.00,10.00,0.70,3.00,4.00,4.00,3.00
9937,Rockstar Punched Energy Guava,Rockstar,64.00,0.10,15.00,,5.00,4.00,3.00
9938,Turron blando de almendra - Vicens,"Vicens, Torrons Vicens",549.00,5.00,29.00,3.00,4.00,4.00,
9939,Turrón Blando de Almendra - Vicens,Vicens,559.00,3.00,23.00,2.00,4.00,4.00,
9940,Suisse - Fini,Fini,328.00,0.00,64.00,,4.00,4.00,8.00
9941,Cacahuetes salados - Frit Ravich,Frit Ravich,607.00,8.70,4.00,4.00,4.00,3.00,
9942,Frixen cola,Frixen,34.00,0.00,8.30,,5.00,4.00,4.00
9943,Cerezas al licor - Trapa,Trapa,,12.00,25.00,,5.00,4.00,2.00
9944,Juver Naranja Orange Juice,Juver,25.00,0.00,4.20,3.00,3.00,4.00,3.00
9945,Caldo para paella valenciana con sofrito - Aneto,Aneto,48.00,1.21,0.30,,3.00,4.00,1.00
9946,Alcaparras - Auchan,Auchan,37.00,0.30,0.10,,3.00,3.00,1.00
9947,Liquamine b12 - Marnys,Marnys,160.00,0.10,40.08,,4.00,3.00,2.00
9948,Usnack! con jamón serrano,Serrano,402.00,12.00,1.50,5.00,5.00,4.00,6.00
9949,López - Gran Capitán,Gran Capitán,430.00,25.00,1.50,2.00,4.00,3.00,1.00
9950,Chocolate negro 73% endulzado con ágave ecológico - Chocolates Solé,Chocolates Solé,551.00,26.20,25.50,3.00,4.00,3.00,
9951,Risketos Original - Risi,Risi,556.00,3.60,2.30,,4.00,4.00,3.00
9952,Bebida de arroz Integral Biológica - Diet Rádisson,Diet Rádisson,50.00,0.10,4.70,2.00,2.00,1.00,
9953,Crema Al Queso De Cabra Garcia Baquero 125 GR,Garcia Baquero,260.00,13.50,2.20,4.00,4.00,4.00,2.00
9954,Chorizo de León - Palcarsa,Palcarsa,413.00,13.00,0.80,3.00,5.00,4.00,1.00
9955,Rolla Belta,Vidal,370.00,1.20,62.00,4.00,4.00,4.00,7.00
9956,Anacardos con sal - bonÀrea,bonÀrea,627.00,8.40,5.00,3.00,3.00,3.00,
9957,Schweppes Limon Dry,Schweppes,35.00,0.00,0.00,,,4.00,8.00
9958,Chocolate - chocolate express,chocolate express,457.00,11.00,57.80,,,4.00,1.00
9959,Neo Isolate whey chocolate 100 CFM - Joe Weider Victory,Joe Weider Victory,376.00,0.90,1.80,,2.00,4.00,4.00
9960,Ensalada gourmet original - Florette,Florette,23.00,0.10,0.70,2.00,1.00,1.00,
9961,Mazorquitas de maiz Extra - Alipende,Alipende,35.00,0.10,3.00,1.00,3.00,3.00,
9962,Almendra - Alipende,Alipende,574.00,4.30,2.60,3.00,4.00,3.00,
9963,Frutos secos Pipas - Alipende,Alipende,610.00,7.00,0.00,3.00,3.00,3.00,
9964,Oli d'oliva arbequina - Bonpreu,Bonpreu,900.00,17.00,0.00,4.00,3.00,2.00,
9965,Bioartesanos con Algarroba - El granero integral,El granero integral,408.00,9.00,25.60,2.00,5.00,3.00,2.00
9966,Tortitas de Maiz Chocolate negro - Vegetalia,Vegetalia,481.00,13.00,26.00,2.00,4.00,4.00,2.00
9967,Céréales Special avec chocolat - Coviran,Coviran,388.00,2.00,5.20,4.00,2.00,4.00,3.00
9968,Tortitas de arroz con 50% de algarroba - Biocop,Biocop,467.00,10.20,22.50,2.00,4.00,1.00,
9969,Longaniza extra - Can Duran,Can Duran,425.00,12.20,1.80,,5.00,4.00,4.00
9970,Horchata - Mercader,Mercader,99.00,0.30,12.00,,3.00,4.00,3.00
9971,Vegan brot pan de chía y quinoa,Ketterer,262.00,0.51,1.10,,2.00,,1.00
9972,Ensalada IV estaciones - Carrefour,Carrefour,17.00,0.10,1.40,2.00,1.00,3.00,
9973,Remolacha roja en rodajas - Carrefour bio,Carrefour bio,31.00,0.00,6.00,1.00,3.00,3.00,
9974,Patatas fritas lisas - Carrefour,Carrefour,549.00,3.60,0.50,2.00,3.00,3.00,
9975,Mermelada tomate - Carrefour,Carrefour,196.00,0.00,47.00,2.00,3.00,4.00,2.00
9976,Ensalada Americana - Carrefour,Carrefour,203.00,1.40,9.10,,3.00,4.00,6.00
9977,Cacahuetes Virginia fritos - El Corte Inglés,El Corte Inglés,665.00,8.60,4.20,4.00,4.00,3.00,
