product_id,additive_id
589,E503
589,E953
589,E965
590,E296
590,E322
590,E322i
590,E500
590,E500ii
590,E502
596,E300
597,E336
597,E336i
597,E412
597,E464
597,E471
597,E472e
597,E500
597,E500ii
597,E503
597,E503ii
599,E150d
599,E223
599,E322
599,E322i
599,E500
599,E500i
599,E503
599,E503i
600,E322
600,E322i
602,E322
602,E322i
604,E300
607,E341
607,E341i
607,E500
607,E500ii
608,E500
608,E500ii
608,E503
608,E503ii
609,E300
609,E385
613,E202
614,E100
614,E300
614,E330
614,E392
614,E450
614,E450i
616,E322
616,E322i
616,E500
617,E1200
617,E322
617,E322i
617,E450
617,E450i
617,E472e
617,E500
617,E500ii
617,E502
618,E160a
618,E407
618,E410
618,E412
618,E442
618,E471
618,E476
619,E322
619,E322i
619,E500
619,E500ii
619,E503
619,E503ii
620,E955
622,E304
622,E304i
622,E306
622,E322
622,E322i
622,E330
622,E420
622,E422
623,E140
623,E330
624,E306
625,E120
625,E950
625,E955
626,E322
626,E322i
627,E340
627,E340iii
627,E418
627,E452
627,E473
628,E270
629,E202
629,E407
631,E140
631,E150a
631,E306
631,E412
631,E451
631,E500
631,E501
631,E621
631,E635
632,E965
633,E270
633,E296
633,E322
633,E322i
633,E414
633,E422
633,E440
633,E503
633,E503ii
634,E150
634,E466
635,E170
635,E170i
635,E300
635,E412
635,E472e
636,E223
636,E322
636,E322i
636,E503
637,E503
637,E503ii
638,E100
638,E140
638,E418
638,E950
638,E955
639,E202
639,E262
639,E300
639,E330
639,E461
640,E322
640,E322i
641,E407
641,E412
641,E500
641,E500i
642,E202
642,E330
643,E509
643,E511
644,E140
645,E330
645,E331
645,E440
645,E955
646,E140
646,E339
646,E407
646,E466
646,E524
646,E950
646,E955
647,E579
648,E322
648,E322i
650,E322
650,E322i
650,E450
650,E500
650,E503
651,E322
651,E322i
651,E503
652,E322
652,E322i
653,E322
653,E322i
656,E322
656,E322i
657,E340
657,E340ii
658,E140
661,E418
662,E500
662,E500ii
664,E524
665,E461
666,E140
666,E466
666,E950
666,E955
667,E100
667,E140
667,E140
667,E140i
667,E296
667,E330
668,E296
668,E300
668,E330
668,E331
668,E414
668,E445
668,E950
668,E955
669,E296
669,E300
669,E330
669,E331
669,E331i
669,E340
669,E414
669,E445
669,E950
669,E955
670,E322
670,E322i
671,E500
671,E500ii
673,E339
673,E407
673,E471
676,E100
676,E140
676,E160b
676,E331
676,E331i
676,E407
677,E300
678,E621
678,E627
678,E631
679,E412
679,E471
679,E960
679,E968
680,E322
680,E322i
681,E322
681,E503
682,E392
683,E306
683,E406
683,E407
684,E322
684,E322i
685,E471
686,E322
686,E420
686,E422
686,E450
688,E330
688,E450
688,E471
688,E500
688,E503
689,E300
689,E322
689,E322i
690,E300
691,E322
691,E330
691,E450
691,E500
693,E322
693,E322i
694,E1200
694,E322
694,E322i
694,E330
694,E331
694,E339
694,E339iii
694,E471
695,E170
695,E170i
695,E300
695,E472e
697,E322
697,E450
697,E500
698,E407
698,E410
699,E950
699,E955
701,E140
701,E330
702,E500
702,E500ii
702,E503
702,E503ii
704,E160c
704,E414
704,E420
706,E412
708,E322
708,E322i
711,E100
711,E120
711,E133
711,E1400
711,E160e
711,E171
711,E322
711,E322i
711,E414
711,E903
714,E160b
714,E270
714,E330
714,E471
714,E621
714,E631
715,E322
716,E140
716,E500
716,E500i
716,E501
716,E501i
716,E621
716,E635
717,E250
717,E262
717,E316
717,E407a
717,E412
717,E420
717,E450
717,E508
718,E200
718,E282
718,E341
718,E471
718,E472e
718,E481
719,E322
719,E322i
719,E418
721,E330
722,E223
722,E341
722,E503
726,E322
726,E322i
727,E140
727,E150d
727,E339
727,E407
727,E466
727,E950
727,E955
729,E322
729,E322i
729,E420
732,E160b
734,E150d
734,E330
734,E338
734,E950
734,E951
735,E306
735,E570
736,E1450
736,E160a
736,E330
736,E331
736,E415
736,E466
736,E955
737,E306
738,E200
738,E300
739,E202
739,E330
739,E440
740,E160a
740,E160ai
740,E202
740,E330
740,E331
742,E160b
742,E260
742,E363
742,E414
742,E422
742,E461
743,E202
743,E282
743,E296
743,E450
743,E450i
743,E471
743,E500
743,E500ii
743,E920
744,E296
744,E330
744,E334
745,E500
745,E500ii
745,E503
745,E503ii
747,E410
747,E412
747,E471
747,E500
747,E960
747,E968
748,E466
749,E270
750,E322
750,E322i
750,E450
750,E500
751,E450
751,E500
751,E503
754,E330
754,E338
755,E322
755,E322i
755,E330
755,E450
755,E476
755,E500
755,E503
756,E621
757,E322
757,E322i
757,E500
757,E500ii
757,E503
757,E503ii
758,E140
758,E440
758,E950
758,E955
759,E220
761,E471
763,E322
764,E440
765,E306
765,E322
765,E322i
765,E420
765,E420ii
765,E422
766,E471
768,E322
768,E322i
768,E330
768,E450
768,E471
768,E500
768,E503
769,E202
769,E300
769,E330
769,E331
769,E412
769,E951
769,E954
770,E322
770,E500
770,E500ii
770,E503
770,E503ii
771,E120
771,E250
771,E316
771,E407
771,E451
771,E451i
773,E160a
773,E322
773,E322i
773,E407
773,E410
773,E412
773,E471
774,E223
774,E500
774,E500ii
774,E503
774,E503ii
775,E202
775,E281
775,E296
775,E412
775,E422
775,E466
775,E471
775,E500
775,E920
776,E330
776,E950
776,E955
778,E250
778,E316
778,E326
778,E407
778,E410
778,E420
778,E451
779,E140
779,E202
779,E440
779,E950
779,E955
780,E440
780,E950
780,E955
782,E960
783,E407
783,E412
783,E418
783,E451
783,E950
784,E330
785,E322
785,E322i
786,E322
786,E322i
786,E503
786,E503ii
787,E407
787,E471
787,E941
787,E942
788,E322
788,E322i
789,E202
789,E401
789,E407
789,E410
791,E322
791,E322i
791,E476
791,E500
791,E500ii
792,E1200
792,E200
792,E282
792,E300
792,E330
792,E415
792,E460
792,E466
792,E471
792,E472e
792,E920
793,E140
793,E415
796,E306
796,E322
796,E322i
796,E500
796,E500ii
797,E140
797,E160c
797,E270
797,E327
797,E471
797,E621
797,E635
800,E202
800,E296
800,E422
800,E500
800,E920
801,E322
803,E322
803,E322i
803,E422
805,E304
805,E306
805,E330
805,E331
805,E333
805,E333iii
805,E412
805,E440
807,E322
807,E322i
807,E960
807,E965
808,E322
808,E322i
808,E500
808,E500ii
808,E503
808,E503ii
811,E322
811,E322i
811,E420
811,E422
812,E150
812,E306
812,E500
812,E500ii
813,E330
814,E322
814,E322i
816,E150
818,E306
820,E140
822,E101
822,E101i
822,E950
824,E330
