,Product Name,Brands,NOVA 4,Nutri-Score,Countries,Additives,Eco-Score,Energía,Grasas saturadas,Azúcares
645,foaming cleanser - cerave,"Cerave, Super soft by sainsburys",Alimentos ultraprocesados,UNKNOWN,"Marruecos, España","E211 - Benzoato sódico, E330 - Ácido cítrico, E415 - Goma xantana, E422 - Glicerol",El Eco-Score no pudo ser calculado,,,
646,Chips de camarón - Snack Day - 100g,Snack Day,Alimentos procesados,D,"Francia, Serbia, España","u, n, k, n, o, w, n",Eco-Score C,2268 kj(542 kcal),3 g,"7,2 g"
647,Noodles Al huevo - Carrefour - 250 g,Carrefour,Alimentos procesados,A,"Francia, Italia, España","E501 - Carbonatos de potasio, E501i - Carbonato de potasio",El Eco-Score no pudo ser calculado,575 kj(136 kcal),"0,3 g","0,3 g"
648,Mimolette Lonchas - Carrefour - 200 g,Carrefour,Alimentos ultraprocesados,D,"Francia, España",E160b - Annato,Eco-Score D,1333 kj(319 kcal),16 g,0 g
649,100% ZUMO NATURAL Manzana - Carrefour - 1 L,"Carrefour, CMI (Carrefour Marchandises Internationales), Groupe Carrefour",Alimentos no procesados o mínimamente procesados,C,"Francia, Italia, España","u, n, k, n, o, w, n",Eco-Score B,178 kj(42 kcal),0 g,"9,7 g"
650,KAONUTS 13% de avellanas - Carrefour - 750 g,Carrefour,Alimentos ultraprocesados,D,"Bélgica, Francia, Italia, España","E322 - Lecitinas, E322i - Lecitina",Eco-Score C,2292 kj(550 kcal),"5,9 g",52 g
651,Crema de queso natural light para untar tarrina - PHILADELPHIA - 200 g e,"PHILADELPHIA, MONDELEZ",Alimentos ultraprocesados,D,"República Checa, Francia, España","E202 - Sorbato potásico, E407 - Carragenatos, E410 - Goma garrofín",Eco-Score B,641 kj(154 kcal),"8,1 g",4 g
652,Gnocchis - Hacendado - 500 g,Hacendado,Alimentos ultraprocesados,C,"Francia, España","E200 - Ácido sórbico, E270 - Ácido láctico, E471 - Mono- y diglicéridos de ácidos grasos",Eco-Score B,739 kj(174 kcal),"0,2 g","0,2 g"
653,Leche con omega 3 - Puleva - 200 ml,Puleva,Alimentos ultraprocesados,B,"Marruecos, España","E322 - Lecitinas, E451 - Tripolifosfatos, E451i - Trifosfato de pentasodio",Eco-Score B,219 kj(57 kcal),"0,5 g",6 g
654,Coconut milk nature - Ecomil - 1 L,Ecomil,Alimentos ultraprocesados,B,"Bélgica, Francia, España, Suiza","u, n, k, n, o, w, n",Eco-Score A,139 kj(30 kcal),"2,5 g","0,3 g"
655,"Queso fresco Burgos Natural - HACENDADO - 375 g (6 × 62,5 g)",HACENDADO,Nivel de procesamiento de alimentos desconocido,C,España,"u, n, k, n, o, w, n",Eco-Score B,686 kj(164 kcal),"8,1 g","4,2 g"
